Kirby Super Star Ultra,2008,Platform,DS
Hitman 2: Silent Assassin,2002,Action,PS2
Street Fighter IV,2009,Fighting,X360
Wave Race 64,1996,Racing,N64
SOCOM II: U.S. Navy SEALs,2003,Shooter,PS2
WWE SmackDown! vs. RAW 2006,2005,Fighting,PS2
inFAMOUS,2009,Action,PS3
Pac-Man Collection,2001,Puzzle,GBA
Mass Effect,2007,Role-Playing,X360
WarioWare: Smooth Moves,2006,Puzzle,Wii
Cooking Mama: Cook Off,2007,Simulation,Wii
Super Mario World 2: Yoshi's Island,2002,Platform,GBA
FIFA 14,2013,Sports,PS4
Titanfall,2014,Shooter,XOne
Sonic Mega Collection Plus,2004,Misc,PS2
Sega Superstars Tennis,2008,Sports,X360
World Soccer Winning Eleven 7 International,2003,Sports,PS2
Need for Speed: Most Wanted,2012,Racing,PS3
Hot Shots Golf 3,2001,Sports,PS2
Call of Duty: Finest Hour,2004,Shooter,PS2
Zumba Fitness 2,2011,Sports,Wii
Syphon Filter,1999,Shooter,PS
Imagine: Babyz,2007,Simulation,DS
Colin McRae Rally,1998,Racing,PS
Call of Duty: Ghosts,2013,Shooter,XOne
Madden NFL 13,2012,Sports,X360
The Elder Scrolls III: Morrowind,2002,Role-Playing,XB
Mortal Kombat,2011,Fighting,PS3
F-Zero,1990,Racing,SNES
Yoshi's Story,1997,Platform,N64
Command & Conquer: Red Alert,1996,Strategy,PC
Skylanders: Spyro's Adventure,2011,Action,Wii
FIFA 16,2015,Sports,PS3
Assassin's Creed: Brotherhood,2010,Action,PS3
BioShock,2007,Shooter,X360
Madden NFL 10,2009,Sports,X360
Medal of Honor,2010,Shooter,PS3
WWE SmackDown! vs. Raw,2002,Fighting,PS2
Metroid Prime,2002,Shooter,GC
Finding Nemo,2003,Action,GBA
Myst,1994,Adventure,PC
Need for Speed: Hot Pursuit,2010,Racing,PS3
Imagine: Fashion Designer,2007,Simulation,DS
WWE SmackDown! Here Comes the Pain,2003,Fighting,PS2
Star Wars: The Force Unleashed,2008,Action,X360
